epoch,bbox_mAP,bbox_mAP_50
1,0.26,0.616
2,0.459,0.841
3,0.47,0.883
4,0.493,0.881
5,0.482,0.846
6,0.498,0.884
7,0.482,0.854
8,0.504,0.872
9,0.517,0.86
10,0.486,0.849
11,0.452,0.805
12,0.527,0.879
